common.breadcrumb	Ruta de navegación
servicesPage.packagingLogistics.hero.title1	Del diseño a la
servicesPage.packagingLogistics.hero.title2	puerta de tu casa
servicesPage.packagingLogistics.hero.description	Soluciones integrales de embalaje y logística que protegen tus productos IPL, potencian tu marca y ofrecen experiencias de cliente excepcionales en todo el mundo.
servicesPage.packagingLogistics.hero.cta1	Solicita presupuesto logístico
servicesPage.packagingLogistics.hero.cta2	Volver a Servicios
servicesPage.packagingLogistics.hero.imgAlt	Embalaje y logística
servicesPage.packagingLogistics.citable.heading	¿Qué incluye el embalaje y la logística para el lanzamiento de una marca IPL?
servicesPage.packagingLogistics.citable.body	El embalaje y la logística para el lanzamiento de una marca IPL cubren tanto la experiencia de apertura orientada al cliente como las protecciones prácticas necesarias para la entrega global. Los programas suelen incluir cartones con marca, insertos, manuales, etiquetado y selección de accesorios, además de estructuras protectoras diseñadas para reducir los daños durante el transporte. Para el comercio electrónico, el embalaje suele optimizarse en tamaño compacto y durabilidad; para el retail, se diseña para atraer en el punto de venta y comunicar con claridad. El soporte logístico incluye documentos de exportación, coordinación de envíos por mar o aire, gestión aduanera y seguimiento, con opciones de ruta basadas en el coste, el destino y los plazos. iShine respalda flujos de embalaje alineados con los calendarios de producción OEM/ODM, de modo que los productos puedan enviarse de forma consistente y llegar en condiciones óptimas para el mercado.
servicesPage.packagingLogistics.services.heading	¿Qué servicios de embalaje y logística ofrecemos?
servicesPage.packagingLogistics.services.sub	Del diseño de embalaje personalizado a la entrega mundial, construimos una vía fiable de la fábrica al cliente.
servicesPage.packagingLogistics.services.items[0].title	Diseño de embalaje personalizado
servicesPage.packagingLogistics.services.items[0].description	Soluciones de embalaje a medida que protegen sus productos y refuerzan la identidad de su marca.
servicesPage.packagingLogistics.services.items[0].features[0]	Diseño alineado con la marca
servicesPage.packagingLogistics.services.items[0].features[1]	Ingeniería de protección
servicesPage.packagingLogistics.services.items[0].features[2]	Materiales sostenibles
servicesPage.packagingLogistics.services.items[0].features[3]	Experiencia de apertura
servicesPage.packagingLogistics.services.items[1].title	Protección del producto
servicesPage.packagingLogistics.services.items[1].description	Embalaje protector avanzado que garantiza que sus dispositivos IPL lleguen en perfectas condiciones a todo el mundo.
servicesPage.packagingLogistics.services.items[1].features[0]	Absorción de impactos
servicesPage.packagingLogistics.services.items[1].features[1]	Protección contra la humedad
servicesPage.packagingLogistics.services.items[1].features[2]	Control de temperatura
servicesPage.packagingLogistics.services.items[1].features[3]	Materiales antiestáticos
servicesPage.packagingLogistics.services.items[2].title	Logística global
servicesPage.packagingLogistics.services.items[2].description	Soluciones logísticas integrales que cubren almacenamiento, distribución y envíos internacionales.
servicesPage.packagingLogistics.services.items[2].features[0]	Envíos a todo el mundo
servicesPage.packagingLogistics.services.items[2].features[1]	Despacho de aduanas
servicesPage.packagingLogistics.services.items[2].features[2]	Gestión de inventario
servicesPage.packagingLogistics.services.items[2].features[3]	Seguimiento en tiempo real
servicesPage.packagingLogistics.services.items[3].title	Optimización de la cadena de suministro
servicesPage.packagingLogistics.services.items[3].description	Gestión de la cadena de suministro basada en datos para reducir costes y mejorar el rendimiento de las entregas.
servicesPage.packagingLogistics.services.items[3].features[0]	Optimización de rutas
servicesPage.packagingLogistics.services.items[3].features[1]	Análisis de costes
servicesPage.packagingLogistics.services.items[3].features[2]	Métricas de rendimiento
servicesPage.packagingLogistics.services.items[3].features[3]	Mejora continua
servicesPage.packagingLogistics.types.heading	Tipos de embalaje
servicesPage.packagingLogistics.types.sub	Estrategias de embalaje a medida para canales de retail, e-commerce y B2B.
servicesPage.packagingLogistics.types.applicationsLabel	Aplicaciones
servicesPage.packagingLogistics.types.featuresLabel	Características
servicesPage.packagingLogistics.types.items[0].type	Embalaje para retail
servicesPage.packagingLogistics.types.items[0].description	Embalaje retail llamativo, diseñado para atraer a los clientes y comunicar el valor del producto.
servicesPage.packagingLogistics.types.items[0].applications[0]	Tiendas de electrónica de consumo
servicesPage.packagingLogistics.types.items[0].applications[1]	Marketplaces en línea
servicesPage.packagingLogistics.types.items[0].applications[2]	Minoristas de belleza
servicesPage.packagingLogistics.types.items[0].applications[3]	Grandes almacenes
servicesPage.packagingLogistics.types.items[0].features[0]	Materiales premium
servicesPage.packagingLogistics.types.items[0].features[1]	Narrativa de marca
servicesPage.packagingLogistics.types.items[0].features[2]	Visibilidad del producto
servicesPage.packagingLogistics.types.items[0].features[3]	Atractivo en el lineal
servicesPage.packagingLogistics.types.items[1].type	Embalaje para e-commerce
servicesPage.packagingLogistics.types.items[1].description	Embalaje optimizado para la venta en línea, con foco en la protección y una experiencia de unboxing memorable.
servicesPage.packagingLogistics.types.items[1].applications[0]	Amazon FBA
servicesPage.packagingLogistics.types.items[1].applications[1]	Venta directa al consumidor
servicesPage.packagingLogistics.types.items[1].applications[2]	Tiendas de belleza en línea
servicesPage.packagingLogistics.types.items[1].applications[3]	Cajas de suscripción
servicesPage.packagingLogistics.types.items[1].features[0]	Diseño compacto
servicesPage.packagingLogistics.types.items[1].features[1]	Apertura fácil
servicesPage.packagingLogistics.types.items[1].features[2]	Prevención de daños
servicesPage.packagingLogistics.types.items[1].features[3]	Experiencia de marca
servicesPage.packagingLogistics.types.items[2].type	Embalaje B2B
servicesPage.packagingLogistics.types.items[2].description	Soluciones de embalaje a granel eficientes para socios de venta al por mayor y distribución.
servicesPage.packagingLogistics.types.items[2].applications[0]	Envíos a distribuidores
servicesPage.packagingLogistics.types.items[2].applications[1]	Pedidos a granel
servicesPage.packagingLogistics.types.items[2].applications[2]	Ferias comerciales
servicesPage.packagingLogistics.types.items[2].applications[3]	Canales profesionales
servicesPage.packagingLogistics.types.items[2].features[0]	Eficiencia de costes
servicesPage.packagingLogistics.types.items[2].features[1]	Optimización del espacio
servicesPage.packagingLogistics.types.items[2].features[2]	Manejo sencillo
servicesPage.packagingLogistics.types.items[2].features[3]	Flexibilidad de cantidades
servicesPage.packagingLogistics.network.heading	¿Qué cobertura tiene nuestra red logística global?
servicesPage.packagingLogistics.network.sub	Cobertura, centros logísticos y servicios diseñados para una entrega predecible y traspasos claros.
servicesPage.packagingLogistics.network.hubsLabel	Centros logísticos
servicesPage.packagingLogistics.network.servicesLabel	Servicios
servicesPage.packagingLogistics.network.items[0].region	Norteamérica
servicesPage.packagingLogistics.network.items[0].coverage	EE. UU., Canadá, México
servicesPage.packagingLogistics.network.items[0].hubs[0]	Los Angeles
servicesPage.packagingLogistics.network.items[0].hubs[1]	New York
servicesPage.packagingLogistics.network.items[0].hubs[2]	Toronto
servicesPage.packagingLogistics.network.items[0].deliveryTime	2–5 días laborables
servicesPage.packagingLogistics.network.items[0].services[0]	Envío exprés
servicesPage.packagingLogistics.network.items[0].services[1]	Entrega terrestre
servicesPage.packagingLogistics.network.items[0].services[2]	Servicio de guante blanco
servicesPage.packagingLogistics.network.items[1].region	Europa
servicesPage.packagingLogistics.network.items[1].coverage	UE, Reino Unido, Suiza, Noruega
servicesPage.packagingLogistics.network.items[1].hubs[0]	Frankfurt
servicesPage.packagingLogistics.network.items[1].hubs[1]	London
servicesPage.packagingLogistics.network.items[1].hubs[2]	Amsterdam
servicesPage.packagingLogistics.network.items[1].deliveryTime	1–4 días laborables
servicesPage.packagingLogistics.network.items[1].services[0]	Entrega al día siguiente
servicesPage.packagingLogistics.network.items[1].services[1]	Envío estándar
servicesPage.packagingLogistics.network.items[1].services[2]	Gestión aduanera
servicesPage.packagingLogistics.network.items[2].region	Asia-Pacífico
servicesPage.packagingLogistics.network.items[2].coverage	China, Japón, Australia, Sudeste Asiático
servicesPage.packagingLogistics.network.items[2].hubs[0]	Hong Kong
servicesPage.packagingLogistics.network.items[2].hubs[1]	Singapore
servicesPage.packagingLogistics.network.items[2].hubs[2]	Sydney
servicesPage.packagingLogistics.network.items[2].deliveryTime	2–7 días laborables
servicesPage.packagingLogistics.network.items[2].services[0]	Flete aéreo
servicesPage.packagingLogistics.network.items[2].services[1]	Flete marítimo
servicesPage.packagingLogistics.network.items[2].services[2]	Distribución regional
servicesPage.packagingLogistics.network.items[3].region	Resto del mundo
servicesPage.packagingLogistics.network.items[3].coverage	Oriente Medio, África, Sudamérica
servicesPage.packagingLogistics.network.items[3].hubs[0]	Dubai
servicesPage.packagingLogistics.network.items[3].hubs[1]	São Paulo
servicesPage.packagingLogistics.network.items[3].hubs[2]	Johannesburg
servicesPage.packagingLogistics.network.items[3].deliveryTime	5–14 días laborables
servicesPage.packagingLogistics.network.items[3].services[0]	Envío internacional exprés
servicesPage.packagingLogistics.network.items[3].services[1]	Envío económico
servicesPage.packagingLogistics.network.items[3].services[2]	Puerta a puerta
servicesPage.packagingLogistics.process.heading	Proceso de embalaje
servicesPage.packagingLogistics.process.sub	Un flujo de trabajo repetible, del diseño al cumplimiento, que mantiene la calidad y los plazos predecibles.
servicesPage.packagingLogistics.process.items[0].step	01
servicesPage.packagingLogistics.process.items[0].title	Consulta de diseño
servicesPage.packagingLogistics.process.items[0].description	Comprendemos su marca, los requisitos del producto y el mercado objetivo para crear la estrategia de embalaje perfecta.
servicesPage.packagingLogistics.process.items[0].deliverables[0]	Análisis de marca
servicesPage.packagingLogistics.process.items[0].deliverables[1]	Investigación de mercado
servicesPage.packagingLogistics.process.items[0].deliverables[2]	Brief de diseño
servicesPage.packagingLogistics.process.items[0].deliverables[3]	Recomendaciones de materiales
servicesPage.packagingLogistics.process.items[1].step	02
servicesPage.packagingLogistics.process.items[1].title	Desarrollo del concepto
servicesPage.packagingLogistics.process.items[1].description	Creación de conceptos de embalaje innovadores que equilibran protección, estética y rentabilidad.
servicesPage.packagingLogistics.process.items[1].deliverables[0]	Conceptos de diseño
servicesPage.packagingLogistics.process.items[1].deliverables[1]	Visualizaciones 3D
servicesPage.packagingLogistics.process.items[1].deliverables[2]	Muestras de materiales
servicesPage.packagingLogistics.process.items[1].deliverables[3]	Estimaciones de costes
servicesPage.packagingLogistics.process.items[2].step	03
servicesPage.packagingLogistics.process.items[2].title	Prototipado y pruebas
servicesPage.packagingLogistics.process.items[2].description	Desarrollo de prototipos y realización de pruebas rigurosas para garantizar una protección óptima y una excelente experiencia de usuario.
servicesPage.packagingLogistics.process.items[2].deliverables[0]	Prototipos físicos
servicesPage.packagingLogistics.process.items[2].deliverables[1]	Pruebas de caída
servicesPage.packagingLogistics.process.items[2].deliverables[2]	Pruebas con usuarios
servicesPage.packagingLogistics.process.items[2].deliverables[3]	Mejoras de diseño
servicesPage.packagingLogistics.process.items[3].step	04
servicesPage.packagingLogistics.process.items[3].title	Producción y cumplimiento
servicesPage.packagingLogistics.process.items[3].description	Escalado a producción completa e integración con nuestra red logística global para una entrega sin fricciones.
servicesPage.packagingLogistics.process.items[3].deliverables[0]	Producción en masa
servicesPage.packagingLogistics.process.items[3].deliverables[1]	Control de calidad
servicesPage.packagingLogistics.process.items[3].deliverables[2]	Gestión de inventario
servicesPage.packagingLogistics.process.items[3].deliverables[3]	Distribución global
servicesPage.packagingLogistics.sustainability.heading	Sostenibilidad
servicesPage.packagingLogistics.sustainability.sub	Opciones de sostenibilidad prácticas que mejoran la eficiencia de los materiales y reducen el impacto logístico.
servicesPage.packagingLogistics.sustainability.items[0].title	Materiales ecológicos
servicesPage.packagingLogistics.sustainability.items[0].description	Materiales de embalaje sostenibles que reducen el impacto ambiental sin comprometer la protección.
servicesPage.packagingLogistics.sustainability.items[0].examples[0]	Cartón reciclado
servicesPage.packagingLogistics.sustainability.items[0].examples[1]	Espuma biodegradable
servicesPage.packagingLogistics.sustainability.items[0].examples[2]	Plásticos de origen vegetal
servicesPage.packagingLogistics.sustainability.items[0].examples[3]	Embalaje mínimo
servicesPage.packagingLogistics.sustainability.items[1].title	Diseño circular
servicesPage.packagingLogistics.sustainability.items[1].description	Embalaje diseñado para la reutilización, el reciclaje o el compostaje, en línea con los principios de la economía circular.
servicesPage.packagingLogistics.sustainability.items[1].examples[0]	Contenedores reutilizables
servicesPage.packagingLogistics.sustainability.items[1].examples[1]	Componentes reciclables
servicesPage.packagingLogistics.sustainability.items[1].examples[2]	Materiales compostables
servicesPage.packagingLogistics.sustainability.items[1].examples[3]	Diseño modular
servicesPage.packagingLogistics.sustainability.items[2].title	Reducción de la huella de carbono
servicesPage.packagingLogistics.sustainability.items[2].description	Logística y embalaje optimizados para minimizar las emisiones de carbono en toda la cadena de suministro.
servicesPage.packagingLogistics.sustainability.items[2].examples[0]	Optimización de rutas
servicesPage.packagingLogistics.sustainability.items[2].examples[1]	Envíos consolidados
servicesPage.packagingLogistics.sustainability.items[2].examples[2]	Abastecimiento local
servicesPage.packagingLogistics.sustainability.items[2].examples[3]	Embalaje eficiente
servicesPage.packagingLogistics.performance.heading	Rendimiento
servicesPage.packagingLogistics.performance.sub	Métricas que reflejan una entrega constante y una manipulación con baja tasa de daños.
servicesPage.packagingLogistics.performance.items[0].metric	99.8%
servicesPage.packagingLogistics.performance.items[0].label	Entrega puntual
servicesPage.packagingLogistics.performance.items[1].metric	0.02%
servicesPage.packagingLogistics.performance.items[1].label	Tasa de daños
servicesPage.packagingLogistics.performance.items[2].metric	50+
servicesPage.packagingLogistics.performance.items[2].label	Países atendidos
servicesPage.packagingLogistics.performance.items[3].metric	24/7
servicesPage.packagingLogistics.performance.items[3].label	Soporte de seguimiento
servicesPage.packagingLogistics.cta.title	¿Listo para enviar a nivel global con total confianza?
servicesPage.packagingLogistics.cta.description	Obtén un plan de embalaje y logística alineado con tus canales, regiones y plazos de entrega.
servicesPage.packagingLogistics.cta.start	Solicitar presupuesto de logística
servicesPage.packagingLogistics.cta.back	Volver a Servicios
servicesPage.noMoq.meta.title	Soporte de branding sin MOQ | iShine
servicesPage.noMoq.meta.description	Soporte sin MOQ para lanzamientos de marca blanca de IPL: Comienza en pequeño, valide la demanda y luego escale con reposición repetible y embalaje listo para tu marca.
servicesPage.noMoq.hero.title1	Sin MOQ,
servicesPage.noMoq.hero.title2	una forma más inteligente de empezar
servicesPage.noMoq.hero.description	Lance tu depiladora IPL con tu marca sin asumir grandes apuestas de inventario. Comienza con un pequeño lote piloto, aprende rápido y luego escale con un flujo de reposición estable.
servicesPage.noMoq.hero.cta1	Habla con un especialista
servicesPage.noMoq.hero.cta2	Volver a Servicios
servicesPage.noMoq.citable.heading	¿Qué significa «No MOQ» para un lanzamiento de IPL de marca blanca?
servicesPage.noMoq.citable.body	«No MOQ» significa que puedes iniciar un programa de IPL con tu marca con una cantidad piloto más pequeña para validar tu canal y tu mensaje, y luego escalar la producción mediante pedidos repetidos en lugar de comprometerte con un inventario inicial elevado. Una configuración práctica sin MOQ incluye requisitos de branding claros, contenido de embalaje y manual definido, un control estable de la lista de materiales y un plan de reposición que respalde plazos previsibles a medida que crece el volumen. El objetivo es reducir el riesgo del lanzamiento y, al mismo tiempo, preservar una presentación profesional de la marca.
servicesPage.noMoq.highlights.eyebrow	Aspectos destacados
servicesPage.noMoq.highlights.heading	Qué obtiene con el soporte sin MOQ
servicesPage.noMoq.highlights.sub	Diseñado para propietarios de marcas que buscan rapidez, flexibilidad y un camino claro hacia el crecimiento.
servicesPage.noMoq.highlights.items[0].title	Lanzamiento de menor riesgo
servicesPage.noMoq.highlights.items[0].description	Valide el posicionamiento, los precios y el ajuste al canal sin comprometerse con un inventario grande.
servicesPage.noMoq.highlights.items[0].items[0]	Pequeñas pruebas piloto
servicesPage.noMoq.highlights.items[0].items[1]	Pedidos piloto con mezcla de SKU
servicesPage.noMoq.highlights.items[0].items[2]	Ciclos de iteración más rápidos
servicesPage.noMoq.highlights.items[0].items[3]	Próximo lote basado en datos
servicesPage.noMoq.highlights.items[1].title	Escalado repetible
servicesPage.noMoq.highlights.items[1].description	Un flujo de reposición predecible para aumentar el volumen sin caos.
servicesPage.noMoq.highlights.items[1].items[0]	Planificación basada en previsiones
servicesPage.noMoq.highlights.items[1].items[1]	Opciones de reserva de capacidad
servicesPage.noMoq.highlights.items[1].items[2]	Control estable de la lista de materiales (BOM)
servicesPage.noMoq.highlights.items[1].items[3]	Rutinas de despacho puntual
servicesPage.noMoq.highlights.items[2].title	Listo para la marca desde el primer día
servicesPage.noMoq.highlights.items[2].description	Incluso los pedidos pequeños pueden llevar su marca de forma profesional y cumplir con los requisitos del canal.
servicesPage.noMoq.highlights.items[2].items[0]	Logotipo y etiquetado
servicesPage.noMoq.highlights.items[2].items[1]	Caja e insertos
servicesPage.noMoq.highlights.items[2].items[2]	Personalización del manual
servicesPage.noMoq.highlights.items[2].items[3]	Selección de accesorios
servicesPage.boxCustom.meta.title	Personalización de cajas | iShine
servicesPage.boxCustom.meta.description	Personalización de cajas para programas de IPL de marca blanca: cartones a medida, insertos, ingeniería de protección, etiquetas de código de barras y cajas maestras optimizadas para el flete.
servicesPage.boxCustom.hero.title1	Personalización de cajas
servicesPage.boxCustom.hero.title2	Diseñada para la conversión y el envío
servicesPage.boxCustom.hero.description	Tu caja es el primer contacto físico con tu marca. Le ayudamos a crear un embalaje que luzca premium, proteja la depiladora y se envía con eficiencia en todos los canales.
servicesPage.boxCustom.hero.cta1	Iniciar un proyecto de embalaje
servicesPage.boxCustom.hero.cta2	Volver a Servicios
servicesPage.boxCustom.citable.heading	¿Qué incluye la personalización de cajas para una marca de IPL?
servicesPage.boxCustom.citable.body	La personalización de cajas para una marca de IPL normalmente incluye troqueles de cartón a medida, la preparación de archivos listos para impresión, el diseño de insertos para la protección y los requisitos del canal, como códigos de barras y etiquetado. Un programa de embalaje completo también contempla la resistencia al tránsito, la experiencia de unboxing y la optimización de las cajas maestras para reducir el coste de flete y la tasa de daños. El objetivo es un embalaje que venda, proteja y escale de forma fiable.
servicesPage.boxCustom.scope.eyebrow	Alcance
servicesPage.boxCustom.scope.heading	Alcance de la personalización de cajas
servicesPage.boxCustom.scope.sub	Del diseño gráfico a la ingeniería de protección y la eficiencia del flete.
servicesPage.boxCustom.scope.items[0].title	Cartón retail y diseño gráfico
servicesPage.boxCustom.scope.items[0].description	Embalaje orientado a la marca, diseñado para el lineal y el unboxing.
servicesPage.boxCustom.scope.items[0].points[0]	Configuración de troqueles y maquetación
servicesPage.boxCustom.scope.items[0].points[1]	Verificación de archivos listos para impresión
servicesPage.boxCustom.scope.items[0].points[2]	Recomendaciones de color y acabados
servicesPage.boxCustom.scope.items[0].points[3]	Códigos de barras y etiquetas de conformidad
servicesPage.boxCustom.scope.items[1].title	Protección interna
servicesPage.boxCustom.scope.items[1].description	Ingeniería de protección para reducir los daños en tránsito y las devoluciones.
servicesPage.boxCustom.scope.items[1].points[0]	Insertos de EVA
servicesPage.boxCustom.scope.items[1].points[1]	Bandejas blister y de vacío
servicesPage.boxCustom.scope.items[1].points[2]	Opciones de pulpa moldeada
servicesPage.boxCustom.scope.items[1].points[3]	Mejoras orientadas a pruebas de caída
servicesPage.boxCustom.scope.items[2].title	Optimización de cajas maestras
servicesPage.boxCustom.scope.items[2].description	Reduzca los costes de flete con un dimensionado de cajas y planes de embalaje más inteligentes.
servicesPage.boxCustom.scope.items[2].points[0]	Planificación de las dimensiones de la caja
servicesPage.boxCustom.scope.items[2].points[1]	Configuraciones aptas para palés
servicesPage.boxCustom.scope.items[2].points[2]	Enfoque en la utilización del contenedor
servicesPage.boxCustom.scope.items[2].points[3]	Estándares de etiquetado exterior
servicesPage.dropshipping.meta.title	Soporte de dropshipping | iShine
servicesPage.dropshipping.meta.description	Soporte de dropshipping para marcas de IPL de marca blanca: gestión de pedidos, opciones de embalaje, sincronización del seguimiento y flujos de trabajo de excepciones y devoluciones.
servicesPage.dropshipping.hero.title1	Dropshipping
servicesPage.dropshipping.hero.title2	sin caos
servicesPage.dropshipping.hero.description	Envía directamente a tus clientes con un flujo de trabajo fiable: despacho predecible, reglas de embalaje claras y visibilidad del seguimiento que reduce la fricción en el soporte.
servicesPage.dropshipping.hero.cta1	Configurar dropshipping
servicesPage.dropshipping.hero.cta2	Volver a Servicios
servicesPage.dropshipping.citable.heading	¿Qué incluye el soporte de dropshipping para una marca de IPL?
servicesPage.dropshipping.citable.body	El soporte de dropshipping para una marca de IPL normalmente incluye la recepción de pedidos y los procesos de despacho diario, las reglas de embalaje (insertos neutros o con marca), el etiquetado y el kitting, y la sincronización de los números de seguimiento. Un flujo de trabajo completo también define la gestión de excepciones y el soporte de devoluciones para que los problemas de entrega no desborden el servicio de atención al cliente. El objetivo es una calidad de cumplimiento constante que proteja la experiencia de marca y mantenga los costes operativos bajo control.
servicesPage.dropshipping.capabilities.eyebrow	Capacidades
servicesPage.dropshipping.capabilities.heading	Capacidades de dropshipping
servicesPage.dropshipping.capabilities.sub	Una configuración práctica que escala a medida que crece tu volumen diario de pedidos.
servicesPage.dropshipping.capabilities.items[0].title	Gestión de pedidos
servicesPage.dropshipping.capabilities.items[0].description	Convierta los pedidos diarios en despachos consistentes con SOP claros.
servicesPage.dropshipping.capabilities.items[0].items[0]	Importación de pedidos a granel
servicesPage.dropshipping.capabilities.items[0].items[1]	Rutinas diarias de picking y packing
servicesPage.dropshipping.capabilities.items[0].items[2]	Proceso de gestión de excepciones
servicesPage.dropshipping.capabilities.items[0].items[3]	Alineación del horario límite
servicesPage.dropshipping.capabilities.items[1].title	Opciones de embalaje
servicesPage.dropshipping.capabilities.items[1].description	Ajuste los requisitos de su marca y su canal sin frenar el cumplimiento.
servicesPage.dropshipping.capabilities.items[1].items[0]	Embalaje neutro
servicesPage.dropshipping.capabilities.items[1].items[1]	Insertos con marca
servicesPage.dropshipping.capabilities.items[1].items[2]	Etiquetas y códigos de barras del canal
servicesPage.dropshipping.capabilities.items[1].items[3]	Kitting de accesorios
servicesPage.dropshipping.capabilities.items[2].title	Seguimiento y soporte
servicesPage.dropshipping.capabilities.items[2].description	Brinde visibilidad a sus clientes y reduzca los tickets de soporte.
servicesPage.dropshipping.capabilities.items[2].items[0]	Sincronización del número de seguimiento
servicesPage.dropshipping.capabilities.items[2].items[1]	Actualizaciones de estado
servicesPage.dropshipping.capabilities.items[2].items[2]	Escalado de problemas de entrega
servicesPage.dropshipping.capabilities.items[2].items[3]	Soporte del flujo de devoluciones
servicesPage.logoPrinting.meta.title	Impresión de logotipos | iShine
servicesPage.logoPrinting.meta.description	Servicios de impresión de logotipos para programas de IPL de marca blanca: serigrafía, tampografía y grabado láser, con maquetas de colocación y verificaciones de durabilidad.
servicesPage.logoPrinting.hero.title1	Impresión de logotipos que
servicesPage.logoPrinting.hero.title2	se ve premium y perdura en el tiempo
servicesPage.logoPrinting.hero.description	pon tu marca donde los clientes más la ven: en la depiladora, en los accesorios y en el embalaje. Nos centramos en la colocación, la consistencia y la durabilidad, no solo en un logotipo sobre la carcasa.
servicesPage.logoPrinting.hero.cta1	Solicitar un presupuesto de branding
servicesPage.logoPrinting.hero.cta2	Volver a Servicios
servicesPage.logoPrinting.citable.heading	¿Qué incluye la impresión de logotipos para un proyecto de IPL de marca blanca?
servicesPage.logoPrinting.citable.body	La impresión de logotipos para un proyecto de IPL de marca blanca normalmente incluye la selección de la ubicación, la preparación de los archivos de arte, la elección del método de producción (como serigrafía, tampografía o grabado láser) y la verificación de durabilidad. Un programa fiable también define objetivos de color, tolerancias de alineación, configuración de fijaciones y controles de consistencia por lote, para que el branding se ve uniforme en dispositivos, accesorios y embalaje. El objetivo es una presentación de marca premium y duradera que coincida con tu posicionamiento y reduzca el riesgo de devoluciones por defectos cosméticos.
servicesPage.logoPrinting.methods.eyebrow	Métodos
servicesPage.logoPrinting.methods.heading	Métodos habituales de aplicación de logotipos
servicesPage.logoPrinting.methods.sub	Recomendamos el método según el material, la geometría de la superficie y el desgaste esperado.
servicesPage.logoPrinting.methods.items[0].title	Serigrafía
servicesPage.logoPrinting.methods.items[0].description	Logotipos limpios y rentables para carcasas de dispositivos, adaptadores y accesorios.
servicesPage.logoPrinting.methods.items[0].features[0]	Asesoramiento sobre el emparejado de color
servicesPage.logoPrinting.methods.items[0].features[1]	Maquetas de posicionamiento
servicesPage.logoPrinting.methods.items[0].features[2]	Controles de consistencia por lote
servicesPage.logoPrinting.methods.items[0].features[3]	Opciones de resistencia a la fricción
servicesPage.logoPrinting.methods.items[1].title	Tampografía
servicesPage.logoPrinting.methods.items[1].description	Ideal para superficies curvas y logotipos pequeños con gran detalle.
servicesPage.logoPrinting.methods.items[1].features[0]	Soporte para superficies complejas
servicesPage.logoPrinting.methods.items[1].features[1]	Bordes definidos en logotipos pequeños
servicesPage.logoPrinting.methods.items[1].features[2]	Control de alineación de fijaciones
servicesPage.logoPrinting.methods.items[1].features[3]	Pruebas de repetibilidad
servicesPage.logoPrinting.methods.items[2].title	Grabado láser
servicesPage.logoPrinting.methods.items[2].description	Acabado premium y durabilidad a largo plazo para SKU de gama alta.
servicesPage.logoPrinting.methods.items[2].features[0]	Estética de gama alta
servicesPage.logoPrinting.methods.items[2].features[1]	Excelente durabilidad
servicesPage.logoPrinting.methods.items[2].features[2]	Profundidad y contraste controlados
servicesPage.logoPrinting.methods.items[2].features[3]	Plantillas de colocación
servicesPage.userManualGuideCustom.meta.title	Personalización de manuales de usuario y guías | iShine
servicesPage.userManualGuideCustom.meta.description	Personalización de manuales de usuario y guías para programas de IPL de marca blanca: guías de inicio rápido, contenido de seguridad, localización y materiales de soporte vinculados por código QR.
servicesPage.userManualGuideCustom.hero.title1	Manuales que
servicesPage.userManualGuideCustom.hero.title2	reducen las devoluciones
servicesPage.userManualGuideCustom.hero.description	Un buen manual forma parte del producto. Personalizamos guías que ayudan a los usuarios a tener éxito desde la primera sesión, explican la seguridad con claridad y reducen la carga del servicio de atención al cliente.
servicesPage.userManualGuideCustom.hero.cta1	Solicitar personalización del manual
servicesPage.userManualGuideCustom.hero.cta2	Volver a Servicios
servicesPage.userManualGuideCustom.citable.heading	¿Qué incluye la personalización de manuales de usuario y guías?
servicesPage.userManualGuideCustom.citable.body	La personalización de manuales de usuario y guías normalmente incluye una guía de inicio rápido, instrucciones detalladas de uso, advertencias de seguridad y contenido localizado para los mercados objetivo. Un programa completo también añade diagramas, tablas de cadencia de tratamiento, secciones de solución de problemas y códigos QR que enlazan con tutoriales en vídeo o preguntas frecuentes (FAQ). El objetivo es un mayor éxito en el primer uso, menos incidentes de uso incorrecto y tasas reducidas de devoluciones y soporte.
servicesPage.userManualGuideCustom.modules.eyebrow	Módulos
servicesPage.userManualGuideCustom.modules.heading	Qué podemos personalizar
servicesPage.userManualGuideCustom.modules.sub	Elige lo que necesitas para tu canal, tu idioma y el posicionamiento de tu marca.
servicesPage.userManualGuideCustom.modules.items[0].title	Guía de inicio rápido
servicesPage.userManualGuideCustom.modules.items[0].description	Haga que el primer uso sea sencillo con un flujo simple y visual.
servicesPage.userManualGuideCustom.modules.items[0].features[0]	Lista de verificación de configuración
servicesPage.userManualGuideCustom.modules.items[0].features[1]	Pasos sobre tono de piel y seguridad
servicesPage.userManualGuideCustom.modules.items[0].features[2]	Tabla de cadencia de tratamiento
servicesPage.userManualGuideCustom.modules.items[0].features[3]	Conceptos básicos de cuidado y limpieza
servicesPage.userManualGuideCustom.modules.items[1].title	Contenido de seguridad y conformidad
servicesPage.userManualGuideCustom.modules.items[1].description	Las advertencias claras reducen el uso incorrecto y refuerzan la confianza después de la compra.
servicesPage.userManualGuideCustom.modules.items[1].features[0]	Contraindicaciones y notas de riesgo
servicesPage.userManualGuideCustom.modules.items[1].features[1]	Orientación sobre seguridad ocular
servicesPage.userManualGuideCustom.modules.items[1].features[2]	Manipulación y almacenamiento del dispositivo
servicesPage.userManualGuideCustom.modules.items[1].features[3]	Soporte de alineación del etiquetado
servicesPage.userManualGuideCustom.modules.items[2].title	Localización y soporte
servicesPage.userManualGuideCustom.modules.items[2].description	Apoye a sus mercados objetivo con contenido listo en su idioma y una resolución de problemas más rápida.
