common.breadcrumb	Breadcrumb
componentsPower.breadcrumb.components	Components
componentsPower.header.title	Power Supply
componentsPower.header.description	Efficient and safe power supply systems for IPL devices
componentsPower.intro.title	The Power Supply Is Where Safety and Compliance Begin
componentsPower.intro.paragraph	Every IPL flash begins with the power supply converting wall power into a precise, repeatable DC output. That single conversion decides how consistent your pulses are, how safely the device runs, and whether it clears the certification bar in your target market. It is also where engineering meets a commercial decision: which adapter grade your sales channel actually requires. We help brands get both right — from standard certified adapters for e-commerce to medical-grade units for regulated retail — with plug styles and certifications matched to your market.
componentsPower.diagram.alt	IPL Device Component Diagram
componentsPower.overview.title	Core Components Overview
componentsPower.core.lamp.title	Lamp Cartridges
componentsPower.core.lamp.description	Light source, energy stability, lifespan
componentsPower.core.lamp.specs[0]	999,000 flashes
componentsPower.core.lamp.specs[1]	Xenon technology
componentsPower.core.lamp.specs[2]	High efficiency
componentsPower.core.lamp.specs[3]	Extended lifespan
componentsPower.core.lamp.paragraph	Lamp cartridges are the core of IPL devices, determining energy output quality and device lifespan. Our high-performance lamps use advanced xenon technology to provide stable light energy output and extended lifespan, ensuring consistency and effectiveness for each treatment.
componentsPower.core.lamp.imageAlt	IPL Lamp Cartridge
componentsPower.core.lamp.cta	Learn More About Lamp Cartridges
componentsPower.core.filter.title	Optical Filters
componentsPower.core.filter.description	Wavelength precision, skin safety
componentsPower.core.filter.specs[0]	UV protection
componentsPower.core.filter.specs[1]	Wavelength control
componentsPower.core.filter.specs[2]	High clarity
componentsPower.core.filter.specs[3]	Durability
componentsPower.core.filter.paragraph	Optical filters play a crucial role in filtering harmful wavelengths and ensuring safe treatments. Our precision filter technology can precisely control spectral output, protecting skin from UV damage while maximizing treatment effectiveness.
componentsPower.core.filter.imageAlt	IPL Optical Filter
componentsPower.core.filter.cta	Explore Optical Filters
componentsPower.core.cooling.title	Cooling System
componentsPower.core.cooling.description	Comfort, skin protection, device durability
componentsPower.core.cooling.specs[0]	Sapphire cooling
componentsPower.core.cooling.specs[1]	Semiconductor technology
componentsPower.core.cooling.specs[2]	Contact cooling
componentsPower.core.cooling.specs[3]	Temperature control
componentsPower.core.cooling.paragraph	Cooling systems are essential for user comfort and skin protection. Our advanced cooling technologies, including sapphire contact cooling and semiconductor refrigeration, reduce discomfort during treatment while protecting skin from thermal damage.
componentsPower.core.cooling.imageAlt	IPL Cooling System
componentsPower.core.cooling.cta	View Cooling System Solutions
componentsPower.core.power.title	Power Supply
componentsPower.core.power.description	Stable energy output, safety compliance
componentsPower.core.power.specs[0]	Global voltage
componentsPower.core.power.specs[1]	Safety certified
componentsPower.core.power.specs[2]	Energy efficient
componentsPower.core.power.specs[3]	Reliability
componentsPower.core.power.paragraph	Reliable power supply is the foundation of IPL device safety and performance. Our power systems comply with global standards, providing stable energy output and adapting to different countries and regions.
componentsPower.core.power.imageAlt	IPL Power Supply
componentsPower.core.power.cta	Explore Power Supply Options
componentsPower.quality.title	Quality & Testing
componentsPower.quality.partnership	Partnership with Intertek for component-level testing
componentsPower.qualityBlocks.durability.title	Durability Testing
componentsPower.qualityBlocks.durability.description	Simulating long-term use to ensure component performance across lifecycle
componentsPower.qualityBlocks.safety.title	Safety Testing
componentsPower.qualityBlocks.safety.description	Electrical and thermal performance testing to ensure user safety
componentsPower.qualityBlocks.performance.title	Performance Verification
componentsPower.qualityBlocks.performance.description	Measuring key parameters such as light output and energy stability
componentsPower.qualityBlocks.compliance.title	Compliance Certification
componentsPower.qualityBlocks.compliance.description	Ensuring components comply with industry standards and regulations
componentsPower.customization.title	Customization Options
componentsPower.customization.description	Components can be customized to your brand requirements, ensuring your IPL device stands out
componentsPower.cta.title	Build Your IPL Solution
componentsPower.cta.description	Whether you need complete devices or specific components, talk to us to discuss your requirements.
componentsPower.cta.button	Contact Us
componentsPower.citable.question	What does the power supply do in an IPL device?
componentsPower.citable.paragraph	The power supply is the electrical subsystem that enables stable, repeatable energy delivery for IPL pulses. It converts AC mains input into the controlled DC output that drives the lamp, cooling modules, and control electronics of an at-home IPL hair removal device, supporting global input ranges like 100–240V AC for international distribution. iShine's adapters deliver DC output typically at 12V 2.5A, 12V 3.0A, or 12V 4.0A, matched to each model's energy level and cooling configuration. The adapter grade you need depends on where you sell: brands entering retail chains and supermarkets face strong regulation, so a medical-grade power adapter is mandatory and typically costs about US$2.5 more than a standard-grade adapter; brands selling through Shopify or a self-built DTC storefront are under lighter regulation and can use a normal certified adapter. iShine supplies certified adapters in UK, US, AU, EU, and JP plug styles, with support for additional markets including Argentina and Japan. Private customization is available — for example, a power cord finished in skin-friendly material — so the adapter aligns with your brand, packaging, and target region.
servicesPage.breadcrumb.services	Services
servicesPage.hero.title1	Professional IPL Manufacturing
servicesPage.hero.title2	End-to-End OEM/ODM Solutions
servicesPage.hero.description	From design to production, packaging to logistics — your trusted manufacturing partner.
servicesPage.hero.cta	Contact Our Team
servicesPage.core.title	What IPL manufacturing services do we offer?
servicesPage.core.description	Comprehensive solutions covering design, production, packaging and logistics
servicesPage.core.oem.title	OEM/ODM
servicesPage.core.oem.description	Complete manufacturing services tailored to your brand
servicesPage.core.oem.features[0]	Industrial design & engineering
servicesPage.core.oem.features[1]	Regulatory and compliance support
servicesPage.core.oem.features[2]	Pilot builds and mass production
servicesPage.core.oem.features[3]	Quality assurance and aftersales
servicesPage.core.design.title	Product Design
servicesPage.core.design.description	Design and prototyping for market-ready IPL devices
servicesPage.core.design.features[0]	Concept and CAD modeling
servicesPage.core.design.features[1]	Rapid prototyping
servicesPage.core.design.features[2]	Ergonomics and UX
servicesPage.core.design.features[3]	Brand identity integration
servicesPage.core.production.title	Production & Assembly
servicesPage.core.production.description	Modern facilities with controlled assembly workflows
servicesPage.core.production.features[0]	Component sourcing
servicesPage.core.production.features[1]	Assembly line setup
servicesPage.core.production.features[2]	Process validation
servicesPage.core.production.features[3]	Final device testing
servicesPage.core.packaging.title	Packaging & Logistics
servicesPage.core.packaging.description	Custom packaging and worldwide logistics
servicesPage.core.packaging.features[0]	Retail-ready packaging
servicesPage.core.packaging.features[1]	Documentation & labeling
servicesPage.core.packaging.features[2]	Global shipping
servicesPage.core.packaging.features[3]	Supply chain support
servicesPage.why.title	Why Choose iShine
servicesPage.why.description	Trusted expertise, global standards and end-to-end support
servicesPage.process.title	How does the IPL manufacturing process work?
servicesPage.process.description	Clear steps from concept to launch
servicesPage.process.steps[0].step	01
servicesPage.process.steps[0].title	Consultation
servicesPage.process.steps[0].description	Understand requirements and define scope
servicesPage.process.steps[0].duration	1-2 weeks
servicesPage.process.steps[1].step	02
servicesPage.process.steps[1].title	Design & Prototype
servicesPage.process.steps[1].description	Design, engineering and prototype validation
servicesPage.process.steps[1].duration	2-6 weeks
servicesPage.process.steps[2].step	03
servicesPage.process.steps[2].title	Pilot Build
servicesPage.process.steps[2].description	Small batch builds and process optimization
servicesPage.process.steps[2].duration	2-4 weeks
servicesPage.process.steps[3].step	04
servicesPage.process.steps[3].title	Mass Production
servicesPage.process.steps[3].description	Scale production with full QA
servicesPage.process.steps[3].duration	4-8 weeks
servicesPage.trusted.title	Trusted by Leading Brands
servicesPage.trusted.description	Proven success delivering IPL products across multiple regions
servicesPage.trusted.stats[0].value	2021
servicesPage.trusted.stats[0].label	Founded
servicesPage.trusted.stats[1].value	30+
servicesPage.trusted.stats[1].label	Product Models
servicesPage.trusted.stats[2].value	20+
servicesPage.trusted.stats[2].label	Countries Served
servicesPage.trusted.logoAlt	logo
servicesPage.trusted.quote	iShine's comprehensive approach and attention to detail have been instrumental in bringing our IPL products to market successfully across multiple regions.
servicesPage.trusted.quoteAuthor	Operations Team, Multi-region Beauty Brand
servicesPage.advantages.experience.title	10+ Years Experience
servicesPage.advantages.experience.description	Deep industry expertise in IPL manufacturing.
servicesPage.advantages.global.title	Global Reach
servicesPage.advantages.global.description	Serving clients in over 50 countries worldwide.
servicesPage.advantages.endToEnd.title	End-to-End Service
servicesPage.advantages.endToEnd.description	From ID design to mass production and logistics.
servicesPage.advantages.quality.title	Quality Assurance
servicesPage.advantages.quality.description	Strict QC process with medical-grade standards.
servicesPage.cta.title	Ready to Start Your Project?
servicesPage.cta.description	Talk to our experts about your requirements and get a tailored proposal.
servicesPage.cta.button	Contact Us
servicesPage.cta.eyebrow	Ready to Start?
servicesPage.cta.viewCaseStudies	View Case Studies
servicesPage.cta.compareModels	Compare IPL Models
servicesPage.backToServices	Back to Services
servicesPage.index.meta.title	IPL Private Label & OEM/ODM Services | iShine
servicesPage.index.meta.description	IPL private label and OEM/ODM services: model selection, sampling, logo printing, box customization, user manual customization, packaging & logistics, and dropshipping support.
servicesPage.index.heroTitle1	IPL Private Label & OEM/ODM Services
servicesPage.index.heroTitle2	From Platform Selection to Fulfillment
servicesPage.index.heroDescription	Build a brand-ready IPL program with a proven manufacturing workflow: model selection, sampling, branding, packaging, documentation, and global delivery support.
servicesPage.index.heroImageAlt	IPL manufacturing services
servicesPage.index.getAQuote	Get a Quote
servicesPage.index.citableEyebrow	Citable Summary
servicesPage.index.citableQuestion	What is included in iShine's IPL manufacturing services?
servicesPage.index.citableParagraph	iShine provides end-to-end IPL manufacturing services for private-label programs, covering OEM/ODM development, product design, production and assembly, packaging, and export logistics. A typical engagement starts with requirements and positioning, then moves into engineering decisions such as cooling approach (including premium sapphire contact cooling targeting ~10°C in supported configurations), energy range, flash window sizing, wavelength filtering, and safety interlocks. Platform-based prototype sampling can often begin in 1-4 weeks depending on scope, while programs involving tooling, electronics, firmware, or compliance work add time for validation, documentation, and production planning. Packaging support includes branded cartons, inserts, manuals, labeling, and accessory selection aligned to retail, distributor, or e-commerce channels, with options such as manual localization and channel-ready labeling. Delivery support includes export documents and shipping coordination (FOB Shenzhen, with CIF options) by sea, air, or courier based on timeline and destination requirements.
servicesPage.index.pickYourPath.eyebrow	Pick Your Path
servicesPage.index.pickYourPath.title	Start, Brand, or Scale—Choose Your Workflow
servicesPage.index.pickYourPath.description	Use the paths below to jump straight to the services and pages that match your current stage.
servicesPage.index.pickYourPath.items[0].title	Start a Brand
servicesPage.index.pickYourPath.items[0].description	Launch with less risk, validate demand, then scale with repeatable replenishment.
servicesPage.index.pickYourPath.items[0].links[0]	Start with No MOQ
servicesPage.index.pickYourPath.items[0].links[1]	Choose a Platform from the Catalogue
servicesPage.index.pickYourPath.items[0].links[2]	Request a Sample Plan
servicesPage.index.pickYourPath.items[0].links[3]	See OEM/ODM Options
servicesPage.index.pickYourPath.items[1].title	Upgrade Branding
servicesPage.index.pickYourPath.items[1].description	Turn a factory-ready SKU into a brand-ready product with channel-compliant assets.
servicesPage.index.pickYourPath.items[1].links[0]	Add Logo Printing
servicesPage.index.pickYourPath.items[1].links[1]	Customize Your Box & Inserts
servicesPage.index.pickYourPath.items[1].links[2]	Create a User Manual & Quick Start Guide
servicesPage.index.pickYourPath.items[1].links[3]	Packaging & Export Logistics Support
servicesPage.index.pickYourPath.items[2].title	Scale Fulfillment
servicesPage.index.pickYourPath.items[2].description	Build a clean shipping workflow for predictable lead times and fewer support issues.
servicesPage.index.pickYourPath.items[2].links[0]	Set Up Dropshipping
servicesPage.index.pickYourPath.items[2].links[1]	Plan Warehousing & Replenishment
servicesPage.index.pickYourPath.items[2].links[2]	Talk to a Fulfillment Specialist
servicesPage.index.pickYourPath.items[2].links[3]	Read Our FAQ
servicesPage.index.brandingServices.eyebrow	Services Map
servicesPage.index.brandingServices.title	WHAT branding custom services do we offer?
servicesPage.index.brandingServices.description	From low-risk launches to channel-ready packaging, we help you turn a factory-ready SKU into a brand-ready product.
servicesPage.index.brandingServices.items[0].title	No MOQ
servicesPage.index.brandingServices.items[0].description	Launch with smaller orders, validate demand, then scale with predictable replenishment.
servicesPage.index.brandingServices.items[0].features[0]	Platform-ready options for fast sampling
servicesPage.index.brandingServices.items[0].features[1]	Flexible mix-SKU trial orders
servicesPage.index.brandingServices.items[0].features[2]	Step-up volume plan as sales grow
servicesPage.index.brandingServices.items[0].features[3]	Repeatable replenishment workflow
servicesPage.index.brandingServices.items[0].linkLabel	Launch with a Pilot Order
servicesPage.index.brandingServices.items[0].badge	Start Small
servicesPage.index.brandingServices.items[1].title	Logo Printing
servicesPage.index.brandingServices.items[1].description	Put your brand on devices, accessories, and packaging with durable, production-ready methods.
servicesPage.index.brandingServices.items[1].features[0]	Logo placement mockups before production
servicesPage.index.brandingServices.items[1].features[1]	Silk-screen and pad printing options
servicesPage.index.brandingServices.items[1].features[2]	Laser engraving for premium finishes
servicesPage.index.brandingServices.items[1].features[3]	Rub and adhesion durability checks
servicesPage.index.brandingServices.items[1].linkLabel	Make Your Device Look Premium
servicesPage.index.brandingServices.items[1].badge	Branding
servicesPage.index.brandingServices.items[2].title	Box Custom
servicesPage.index.brandingServices.items[2].description	Retail-ready cartons and inserts designed for unboxing, shelf presence, and logistics efficiency.
servicesPage.index.brandingServices.items[2].features[0]	Custom dielines and artwork setup
servicesPage.index.brandingServices.items[2].features[1]	Insert options: EVA / blister / molded pulp
servicesPage.index.brandingServices.items[2].features[2]	Channel labels and barcode requirements
servicesPage.index.brandingServices.items[2].features[3]	Master carton optimization for freight
servicesPage.index.brandingServices.items[2].linkLabel	Reduce Damage with Better Inserts
servicesPage.index.brandingServices.items[2].badge	Packaging
servicesPage.index.brandingServices.items[3].title	User Manual Guide Custom
servicesPage.index.brandingServices.items[3].description	Clear manuals, quick-start guides, and safety content that reduce returns and support tickets.
servicesPage.index.brandingServices.items[3].features[0]	Multilingual translation and proofreading
servicesPage.index.brandingServices.items[3].features[1]	Safety warnings and labeling alignment
servicesPage.index.brandingServices.items[3].features[2]	Quick-start diagrams and usage charts
servicesPage.index.brandingServices.items[3].features[3]	QR codes to video tutorials and FAQ
servicesPage.index.brandingServices.items[3].linkLabel	Reduce Returns with Clear Instructions
servicesPage.index.brandingServices.items[3].badge	Documentation
servicesPage.index.brandingServices.items[4].title	Packaging & Logistics
servicesPage.index.brandingServices.items[4].description	Kitting, labeling, export documents, and shipping coordination built for global delivery.
servicesPage.index.brandingServices.items[4].features[0]	Accessory kitting and final packing SOP
servicesPage.index.brandingServices.items[4].features[1]	Export docs: invoice, packing list, HS code
servicesPage.index.brandingServices.items[4].features[2]	Air, sea, and courier routing support
servicesPage.index.brandingServices.items[4].features[3]	FOB Shenzhen with CIF options
servicesPage.index.brandingServices.items[4].linkLabel	Export Shipping Support (FOB/CIF)
servicesPage.index.brandingServices.items[4].badge	Fulfillment
servicesPage.index.brandingServices.items[5].title	Dropshipping
servicesPage.index.brandingServices.items[5].description	Ship directly to your customers with fast handling and reliable tracking workflows.
servicesPage.index.brandingServices.items[5].features[0]	Neutral packaging or branded inserts
servicesPage.index.brandingServices.items[5].features[1]	Bulk order upload and daily dispatch
servicesPage.index.brandingServices.items[5].features[2]	Tracking number sync and status updates
servicesPage.index.brandingServices.items[5].features[3]	Exceptions and returns handling process
servicesPage.index.brandingServices.items[5].linkLabel	Ship Directly to Customers
servicesPage.index.brandingServices.items[5].badge	DTC Ready
servicesPage.index.wwd.items[0].title	Maintain or Fix My Site
servicesPage.index.wwd.items[0].description	Keep your existing IPL project healthy — component upgrades, production fixes, and packaging refreshes that protect your brand.
servicesPage.index.wwd.items[0].cta	Maintain or fix my IPL project
servicesPage.index.wwd.items[1].title	Find a Technology Partner
servicesPage.index.wwd.items[1].description	Evaluate iShine as a long-term manufacturing partner for your private-label and OEM/ODM IPL programs.
servicesPage.index.wwd.items[1].cta	Find a technology partner
servicesPage.index.wwd.items[2].title	Optimise My Store
servicesPage.index.wwd.items[2].description	Strengthen your product lineup with new models, channel-ready packaging, and better documentation.
servicesPage.index.wwd.items[2].cta	Explore OEM and ODM services
servicesPage.index.wwd.items[3].title	Build a New Site
servicesPage.index.wwd.items[3].description	Design and develop a new IPL device or beauty device shaped around your brand, goals, and long-term plans.
servicesPage.index.wwd.items[3].cta	Get started
servicesPage.index.trustSignals.eyebrow	Trust Signals
servicesPage.index.trustSignals.title	Proof That Supports Long-Term Partnerships
servicesPage.index.trustSignals.description	These pages explain how we reduce operational risk, not just how we manufacture.
servicesPage.index.trustSignals.cards[0].title	Quality Control
servicesPage.index.trustSignals.cards[0].description	Build stability with clear production steps and quality checkpoints.
servicesPage.index.trustSignals.cards[0].link	Production & Assembly
servicesPage.index.trustSignals.cards[1].title	Compliance
servicesPage.index.trustSignals.cards[1].description	Understand safety considerations and how to plan documentation early.
servicesPage.index.trustSignals.cards[1].link	Read Our FAQ
servicesPage.index.trustSignals.cards[2].title	Customization
servicesPage.index.trustSignals.cards[2].description	From logo and packaging to manuals—make the product feel like your brand.
servicesPage.index.trustSignals.cards[2].link	Branding Custom Services
servicesPage.index.trustSignals.cards[3].title	Contact
servicesPage.index.trustSignals.cards[3].description	Get a clear scope, lead time, and a plan that fits your channel.
servicesPage.index.trustSignals.cards[3].link	Talk to our team
servicesPage.index.process.eyebrow	Process
servicesPage.index.process.title	From concept to delivery: a practical workflow
servicesPage.index.process.description	Follow a repeatable sequence that reduces rework, shortens decision cycles, and improves on-time delivery.
servicesPage.index.process.items[0].title	Shortlist a platform
servicesPage.index.process.items[0].description	Match your concept to a proven device platform based on cooling, energy positioning, and use case.
servicesPage.index.process.items[0].duration	1–2 days
servicesPage.index.process.items[0].links[0]	Browse the Catalogue
servicesPage.index.process.items[1].title	Define customization scope
servicesPage.index.process.items[1].description	Confirm specifications, branding scope, and compliance requirements for your target market.
servicesPage.index.process.items[1].duration	2–5 days
servicesPage.index.process.items[1].links[0]	OEM/ODM Services
servicesPage.index.process.items[2].title	Branding setup
servicesPage.index.process.items[2].description	Lock in branding placements and finishes so every unit looks consistent and premium.
servicesPage.index.process.items[2].duration	3–7 days
servicesPage.index.process.items[2].links[0]	Add Logo Printing
servicesPage.index.process.items[3].title	Packaging & documentation
servicesPage.index.process.items[3].description	Prepare retail-ready assets that reduce damage, reduce returns, and improve first-use success.
servicesPage.index.process.items[3].duration	1–2 weeks
servicesPage.index.process.items[3].links[0]	Customize Your Box & Inserts
servicesPage.index.process.items[3].links[1]	User Manual Customization
servicesPage.index.process.items[4].title	Production & QC
servicesPage.index.process.items[4].description	Execute production with stable BOM control and quality checkpoints aligned to your channels.
servicesPage.index.process.items[4].duration	2–6 weeks
servicesPage.index.process.items[4].links[0]	Production & Assembly
servicesPage.index.process.items[5].title	Ship & fulfill
servicesPage.index.process.items[5].description	Choose the shipping model that matches your timeline and operations—from pallets to parcels.
servicesPage.index.process.items[5].duration	Ongoing
servicesPage.index.process.items[5].links[0]	Packaging & Logistics
servicesPage.index.process.items[5].links[1]	Ship Directly to Customers
servicesPage.index.faq.eyebrow	FAQ
servicesPage.index.faq.title	Questions brands ask before placing an order
servicesPage.index.faq.description	Short answers with direct links to the relevant service pages.
servicesPage.index.faq.items[0].question	Do you offer No MOQ for private-label IPL programs?
servicesPage.index.faq.items[0].answer	Yes. Many programs can start with smaller pilot orders so you can validate positioning and demand before scaling. For details, see No MOQ support.
servicesPage.index.faq.items[0].links[0]	Start with No MOQ
servicesPage.index.faq.items[1].question	Can you print our logo on the device and accessories?
servicesPage.index.faq.items[1].answer	Yes. We support production-ready logo application methods and help confirm placement and durability expectations before mass production.
servicesPage.index.faq.items[1].links[0]	Add Logo Printing
servicesPage.index.faq.items[2].question	Can you customize the box, inserts, and barcodes for retail channels?
servicesPage.index.faq.items[2].answer	Yes. We can customize cartons, internal protection inserts, and channel labeling requirements, including barcode placement and master carton planning.
servicesPage.index.faq.items[2].links[0]	Customize Your Box & Inserts
servicesPage.index.faq.items[3].question	Do you provide multilingual user manuals and quick-start guides?
servicesPage.index.faq.items[3].answer	Yes. We can customize manuals and quick-start guides with clear diagrams, warnings, and localization support to reduce returns and support load.
servicesPage.index.faq.items[3].links[0]	User Manual Customization
servicesPage.index.faq.items[4].question	Do you support packaging and export logistics?
servicesPage.index.faq.items[4].answer	Yes. We support kitting, labeling, export documents, and shipping coordination for sea, air, or courier based on destination requirements.
servicesPage.index.faq.items[4].links[0]	Packaging & Export Logistics Support
servicesPage.index.faq.items[5].question	Do you support dropshipping directly to customers?
servicesPage.index.faq.items[5].answer	Yes. We can support direct-to-customer dispatch with defined packaging rules, order handling workflows, and tracking synchronization.
servicesPage.index.faq.items[5].links[0]	Ship Directly to Customers
servicesPage.index.faq.items[6].question	How do we choose the best IPL model for our market?
servicesPage.index.faq.items[6].answer	Start by matching your target segment to a platform: cooling comfort, energy positioning, app connectivity, portability, and packaging goals. Then confirm the customization scope and compliance needs.
servicesPage.index.faq.items[6].links[0]	Compare IPL Models
servicesPage.index.faq.items[7].question	What are the next steps after we choose a model?
servicesPage.index.faq.items[7].answer	Typical next steps are: confirm requirements, sample evaluation, finalize branding and packaging assets, then plan production and shipping.
servicesPage.index.faq.items[7].links[0]	Get a Quote
servicesPage.index.learnMore	Learn More
servicesPage.index.workflowImageAlt	Manufacturing and packaging workflow
servicesPage.index.trustedBrands.items[0].name	Costco Canada
servicesPage.index.trustedBrands.items[1].name	RoseSkinCo USA
servicesPage.index.trustedBrands.items[2].name	KU-2 Cosmetics Germany
servicesPage.common.whatWeDoCta	What we do
servicesPage.common.bookACall	Book a call
servicesPage.common.ku2Alt	KU-2 Cosmetics
servicesPage.buildANewIpl.meta.title	Build a New IPL Device | iShine
servicesPage.buildANewIpl.meta.description	From concept and industrial design to prototyping, compliant production and global delivery — iShine builds your new IPL device, LED therapy mask or beauty-tech product.
servicesPage.buildANewIpl.hero.eyebrow	From Concept to Certified Production;
servicesPage.buildANewIpl.hero.title	Build a New IPL Device From Scratch
servicesPage.buildANewIpl.wwd.heading	From first sketch to shipping pallet
servicesPage.buildANewIpl.wwd.item1.title	Concept & Industrial Design
servicesPage.buildANewIpl.wwd.item1.desc	We shape your idea into a manufacturable device — industrial design, materials, ergonomics and user experience from the very first sketch.
servicesPage.buildANewIpl.wwd.item1.cta	Start a project
servicesPage.buildANewIpl.wwd.item2.title	Prototyping & Testing
servicesPage.buildANewIpl.wwd.item2.desc	Functional prototypes and rigorous safety, energy and durability testing before a single unit reaches the production line.
servicesPage.buildANewIpl.wwd.item2.cta	Learn more
servicesPage.buildANewIpl.wwd.item3.title	Compliant Mass Production
servicesPage.buildANewIpl.wwd.item3.desc	FDA, CE, ISO 13485 and MDSAP-compliant production lines with strict quality control at every stage.
servicesPage.buildANewIpl.wwd.item3.cta	Our certifications
servicesPage.buildANewIpl.wwd.item4.title	Packaging & Global Delivery
servicesPage.buildANewIpl.wwd.item4.desc	Custom packaging design and worldwide logistics, so your new device lands in stores and doorsteps on time.
servicesPage.buildANewIpl.wwd.item4.cta	See logistics
servicesPage.findTechnologyPartner.meta.title	Find a IPL Technology Partner | iShine
servicesPage.findTechnologyPartner.meta.description	iShine is a full-stack IPL device technology partner — from sapphire cooling and dual-lamp systems to compliant production and global delivery for beauty brands.
servicesPage.findTechnologyPartner.hero.eyebrow	Find the Manufacturing Partner Your IPL Brand Deserves;
servicesPage.findTechnologyPartner.hero.title	A Technology Partner for Your IPL Device
servicesPage.findTechnologyPartner.wwd.heading	Partner with a full-stack IPL device manufacturer
servicesPage.findTechnologyPartner.wwd.item1.title	Full-Stack Manufacturing Partner
servicesPage.findTechnologyPartner.wwd.item1.desc	One partner for design, engineering, compliant production, packaging and global delivery — so your brand can focus on the market, not the factory.
servicesPage.findTechnologyPartner.wwd.item1.cta	Learn more
servicesPage.findTechnologyPartner.wwd.item2.title	Advanced IPL Technologies
servicesPage.findTechnologyPartner.wwd.item2.desc	Proven platforms including sapphire ice cooling, dual-lamp systems, skin sensors and smart app control, ready to be shaped around your product.
servicesPage.findTechnologyPartner.wwd.item2.cta	View platforms
servicesPage.findTechnologyPartner.wwd.item3.title	Global Compliance & Certification
servicesPage.findTechnologyPartner.wwd.item3.desc	FDA-cleared, CE-marked, ISO 13485 and MDSAP-compliant production, with documentation support for every market you sell into.
servicesPage.findTechnologyPartner.wwd.item3.cta	See certifications
servicesPage.findTechnologyPartner.wwd.item4.title	NDA-Protected Partnership
servicesPage.findTechnologyPartner.wwd.item4.desc	Sign an NDA and your brand, designs and projects stay confidential — we never showcase cooperating client brands without permission.
servicesPage.findTechnologyPartner.wwd.item4.cta	Talk to us
servicesPage.maintainOrFix.meta.title	Maintain or Fix IPL Project | iShine
servicesPage.maintainOrFix.meta.description	Diagnose, fix and maintain your IPL project — component support, compliance recertification and ongoing technical support from iShine Technology.
servicesPage.maintainOrFix.hero.eyebrow	Keep Your IPL Project at Its Best;
servicesPage.maintainOrFix.hero.title	Maintain, Optimise and Fix Your IPL Project
servicesPage.maintainOrFix.wwd.heading	Support that keeps your IPL project running
servicesPage.maintainOrFix.wwd.item1.title	Diagnostics & Root-Cause Fixes
servicesPage.maintainOrFix.wwd.item1.desc	We audit your existing IPL device project, identify energy, frequency and stability issues, and fix them at the source.
servicesPage.maintainOrFix.wwd.item1.cta	Start an audit
servicesPage.maintainOrFix.wwd.item2.title	Component & Spare-Part Support
servicesPage.maintainOrFix.wwd.item2.desc	Ongoing supply of lamps, optical filters, cooling components and spares, so your production never stops.
servicesPage.maintainOrFix.wwd.item2.cta	View components
servicesPage.maintainOrFix.wwd.item3.title	Compliance Recertification
servicesPage.maintainOrFix.wwd.item3.desc	Keep FDA, CE, ISO 13485 and MDSAP status current as regulations evolve — audits and documentation handled for you.
servicesPage.maintainOrFix.wwd.item3.cta	See certifications
servicesPage.maintainOrFix.wwd.item4.title	Ongoing Technical Support
servicesPage.maintainOrFix.wwd.item4.desc	A dedicated technical contact for troubleshooting, firmware updates and continuous improvement of your IPL project.
servicesPage.maintainOrFix.wwd.item4.cta	Get support
servicesPage.privateLabel.meta.title	Private-label IPL Manufacturing | iShine
servicesPage.privateLabel.meta.description	Private-label IPL device manufacturing with custom logo, packaging and OEM/ODM flexibility. Your brand, our production line — backed by proven expertise.
servicesPage.privateLabel.hero.eyebrow	Your Brand, Our Production Line;
servicesPage.privateLabel.hero.title	Private-label Manufacturing for Your Brand
servicesPage.privateLabel.wwd.heading	Everything your private label needs, in one place
servicesPage.privateLabel.wwd.item1.title	Your Brand, Our Production Line
servicesPage.privateLabel.wwd.item1.desc	Take a proven IPL platform, add your logo, your colours and your box — and ship a product that looks like it was always yours.
servicesPage.privateLabel.wwd.item1.cta	Find a platform
servicesPage.privateLabel.wwd.item2.title	Custom Logo & Label Printing
servicesPage.privateLabel.wwd.item2.desc	In-house logo printing and label design for devices, manuals and retail packaging, finished to a premium standard.
servicesPage.privateLabel.wwd.item2.cta	Explore
servicesPage.privateLabel.wwd.item3.title	Custom Packaging & Retail Boxes
servicesPage.privateLabel.wwd.item3.desc	From simple retail boxes to gift-ready packaging sets, we design and produce packaging that protects and sells your device.
servicesPage.privateLabel.wwd.item3.cta	See packaging
servicesPage.privateLabel.wwd.item4.title	OEM & ODM Flexibility
servicesPage.privateLabel.wwd.item4.desc	Whether you bring a full design or need our team to develop it, we adapt around your quantities, timeline and budget.
servicesPage.privateLabel.wwd.item4.cta	Start your project
servicesPage.oemOdm.meta.title	OEM/ODM Solutions | iShine
servicesPage.oemOdm.meta.description	iShine OEM and ODM manufacturing for IPL devices: concept development, engineering, prototyping, FDA/CE compliance, private labeling, and turnkey production.
servicesPage.oemOdm.hero.title1	Your Vision,
servicesPage.oemOdm.hero.title2	Our Expertise
servicesPage.oemOdm.hero.description	Complete OEM/ODM solutions for IPL hair removal devices. From initial concept to market-ready products, we transform your ideas into successful businesses.
servicesPage.oemOdm.hero.cta	Start Your Project
servicesPage.oemOdm.citable.heading	What does OEM vs ODM mean for an IPL device launch?
